"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1341","80.4300","42.0000",,,"3.5200","6.4807","1.1930","5.2665"
"1342","80.4900","36.0000",,,"3.5200","6.0000","1.1923","5.2698"
"1343","80.5500","47.0000",,,"3.5200","6.8557","1.1916","5.2730"
"1344","80.6100","37.0000",,,"3.5200","6.0828","1.1908","5.2763"
"1345","80.6700","46.0000",,,"3.5200","6.7823","1.1901","5.2795"
"1346","80.7300","34.0000",,,"3.5200","5.8310","1.1894","5.2828"
"1347","80.7900","51.0000",,,"3.5200","7.1414","1.1886","5.2861"
"1348","80.8500","47.0000",,,"3.5200","6.8557","1.1879","5.2893"
"1349","80.9100","50.0000",,,"3.5200","7.0711","1.1872","5.2926"
"1350","80.9700","50.0000",,,"3.5200","7.0711","1.1864","5.2958"
"1351","81.0300","42.0000",,,"3.5200","6.4807","1.1857","5.2991"
"1352","81.0900","55.0000",,,"3.5200","7.4162","1.1850","5.3023"
"1353","81.1500","39.0000",,,"3.5200","6.2450","1.1843","5.3055"
"1354","81.2100","26.0000",,,"3.5200","5.0990","1.1835","5.3088"
"1355","81.2700","49.0000",,,"3.5200","7.0000","1.1828","5.3120"
"1356","81.3300","41.0000",,,"3.5200","6.4031","1.1821","5.3153"
"1357","81.3900","33.0000",,,"3.5200","5.7446","1.1814","5.3185"
